company,careers_url,ats,slug,evidence,error
Peacock,https://www.peacock.com/careers,error,,,"Page.goto: net::ERR_CERT_COMMON_NAME_INVALID at https://www.peacock.com/careers
Call log:
  - navigating to ""https://www"
Perfect Day,https://www.perfect-day.com/careers,error,,,"Page.goto: net::ERR_CONNECTION_CLOSED at https://www.perfect-day.com/careers
Call log:
  - navigating to ""https://www.pe"
Pika Labs,https://www.pika-labs.com/careers,unknown,,,
Pilot.com,https://www.pilotcom.com/careers,unknown,,,
Postpay,https://www.postpay.com/careers,error,,,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://www.postpay.com/careers
Call log:
  - navigating to ""https://www.postpa"
Puzzle,https://www.puzzle.com/careers,error,,,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://www.puzzle.com/careers
Call log:
  - navigating to ""https://www.puzzle."
Rakuten,https://rakuten.jobs/,error,,,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://rakuten.jobs/
Call log:
  - navigating to ""https://rakuten.jobs/"", wait"
Ramp Business,https://www.ramp-business.com/careers,error,,,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://www.ramp-business.com/careers
Call log:
  - navigating to ""https://www."
Ramp Financial,https://www.ramp-financial.com/careers,error,,,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://www.ramp-financial.com/careers
Call log:
  - navigating to ""https://www"
Ramp Procurement,https://www.ramp-procurement.com/careers,error,,,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://www.ramp-procurement.com/careers
Call log:
  - navigating to ""https://w"
Redfin,https://www.redfin.com/about/jobs,workday,quickenloans.wd5.myworkdayjobs.com,page load: https://careers.rocket.com/us/en/teams/real-estate,
Relativity Space,https://www.relativity-space.com/careers,error,,,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://www.relativity-space.com/careers
Call log:
  - navigating to ""https://w"
Relay Financial,https://www.relay-financial.com/careers,error,,,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://www.relay-financial.com/careers
Call log:
  - navigating to ""https://ww"
Remote OAB,https://www.remote-oab.com/careers,error,,,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://www.remote-oab.com/careers
Call log:
  - navigating to ""https://www.rem"
Remote OK,https://www.remote-ok.com/careers,unknown,,,
Republic,https://www.republic.com/careers,unknown,,,
Ribbon,https://www.ribbon.com/careers,error,,,"Page.goto: Timeout 25000ms exceeded.
Call log:
  - navigating to ""https://www.ribbon.com/careers"", waiting until ""domcon"
